claim_or_hypothesis,status,current_evidence,required_evidence,next_step
Descriptive male majority in CBI known related offenders,partially supported,CBI public aggregate tables show Boulder known related offenders average about three quarters male for 2016-2025 in prior report outputs.,No further evidence needed for this limited aggregate description; denominators remain police-reported CBI records only.,Keep clearly labeled as descriptive context.
Differential police treatment,unresolved because required data are unavailable,Public aggregate tables do not contain comparable pre-decision facts or no-arrest denominator.,"Incident-level CAD/RMS, narratives, evidence metadata, probable-cause coding, agency/policy versions.",Send agency records requests and run schema-backed models.
False-positive criminalization,unresolved because required data are unavailable,No independent legal-sufficiency review sample yet.,Blinded record sample and legal-panel ratings.,Use stratified records request and annotation protocol.
False-negative underenforcement,unresolved because required data are unavailable,No no-arrest/civil classified narrative sample yet.,CAD/RMS no-arrest events and legal-panel ratings.,Use stratified records request and annotation protocol.
Downstream disparity,unresolved because required data are unavailable,DA technical notes identify dashboard limitations; public docket sample is not sufficient.,DA Action extract and Judicial Branch count-level compiled data.,Submit ready-to-send requests after user authorization.
Recent verified favorable outcomes for Boulder-nexus male accused parties exist,partially supported,Cronin preliminary-hearing dismissal/settlement and Higdon reversal/remand are verified from public primary documents; Pollack had dropped charges but failed civil claims.,Exhaustive case discovery and denominator records to estimate rate/trend.,Retrieve court/claims/CU records and run denominator-based trend analysis.
Recent Boulder cases prove knowing false private allegations against men,not supported,Current seed proof matrix contains no Tier 1-2 false-report or private-allegation falsity finding.,"Final false-reporting finding, admission, conviction, or equivalent merits finding tied to the allegation.",Continue symmetric case discovery and docket verification.
Cronin settlement proves adjudicated damages or admitted liability,contradicted by the primary record,Council packet/proposed agreement shows $1 million settlement and compromise of disputed issues; no liability admission or damages verdict located.,Judgment/verdict or agreement term admitting liability/damages.,Request executed agreement and payment records.
Higdon reversal proves factual innocence or false accusation,not supported,Court of Appeals reversed/remanded for due-process/plain-error issue involving post-Miranda silence; no factual-innocence or false-report finding.,"Later dismissal/exoneration, insufficiency ruling, or false-report finding if any.","Check mandate, certiorari, retrial, dismissal, and civil compensation filings."
Pollack supports unjust prosecution trend,contradicted by the primary record,District court granted summary judgment to officer; probable cause remained even excluding disputed interview.,None for current civil claim; appellate document still to preserve.,Retrieve Tenth Circuit affirmance and full docket for finality file.
46-case audit establishes male-specific false-accusation or overenforcement trend,not supported,"Audit verifies case-management failures and time-barred DV cases, but public aggregate record lacks party sex/gender and favorable-outcome coding.","Deidentified case-level crosswalk with party sex/gender, allegation type, arrest/referral/filing/finality, and complaints/settlements.",Send 46-case audit crosswalk requests after authorization.
