variable,construct,unit,allowed_values,definition,source_hierarchy,missing_rule,blinded_to_outcome,legal_review_required,confidence
event_category,civil-versus-criminal classification,event,civil_only|mixed_civil_criminal|criminal_dv_nexus|insufficient_indeterminate,Event-level category assigned after party-level conduct coding,"narrative; CAD; report; evidence metadata",unknown if insufficient,true,true,0-1
party_pc_rating,probable-cause support,event-party,no_pc|pc_supported|more_investigation_needed|indeterminate,Independent legal-panel rating for party and offense,"blinded fact summary; statute matrix",indeterminate if facts unavailable,true,true,0-1
dv_nexus_rating,domestic-violence nexus,event-party,no_nexus|nexus_supported|indeterminate,Independent rating of qualifying relationship and purpose/offense nexus,"blinded fact summary; statute matrix",indeterminate if unavailable,true,true,0-1
recorded_sex,source sex field,party,male|female|unknown|other_or_nonbinary|source_other,Source-recorded sex exactly preserved or mapped with source value retained,"structured source field",unknown if absent,false,false,NA
recorded_gender,source gender field,party,male|female|unknown|other_or_nonbinary|source_other,Source-recorded gender exactly preserved or mapped with source value retained,"structured source field",unknown if absent,false,false,NA
separate_interviews,investigation completeness,event,completed|not_completed|not_applicable|not_feasible|unknown,Available involved parties were interviewed separately where relevant and feasible,"report narrative; bodycam metadata",unknown if not documented,true,false,0-1
self_defense_assessment,investigation completeness,event-party,completed|not_completed|not_applicable|not_feasible|unknown,Officer documented consideration of self-defense where facts made it relevant,"report narrative; supplements",unknown if not documented,true,false,0-1
opposing_complaints,opposing complaint indicator,event,none|one_sided|opposing_complaints|bidirectional_conduct|unknown,Whether both parties complained or codable conduct was bidirectional,"CAD; narrative; statements",unknown if missing,true,false,0-1
private_allegation_knowingly_false,unjust-claim proposition,case-proposition,yes|no|not_found|unverified|pending,Whether a decision maker found a private allegation knowingly false,"final order; false-reporting conviction; administrative merits finding",not_found absent qualifying source,true,true,0-1
probable_cause_absent_at_preliminary_hearing,unjust-claim proposition,case-proposition,yes|no|not_found|unverified|pending,Whether a preliminary-hearing decision maker found no probable cause,"minute order; transcript; judicial order; official settlement packet",unverified if only secondary,true,true,0-1
constitutional_error_found,process-error proposition,case-proposition,yes|no|not_found|pending,Whether a court found constitutional or trial error,"appellate opinion; trial order",not_found absent order,false,true,0-1
settlement_verified,damages proposition,case-proposition,yes|no|unverified|pending,Whether executed or official settlement/payment terms are verified,"executed settlement; council/regent approval; payment record",unverified if secondary only,false,false,0-1
damages_adjudicated,damages proposition,case-proposition,yes|no|pending,Whether a verdict judgment or final award adjudicated damages,"judgment; verdict form; fee/sanction order",no for settlement only,false,true,0-1
male_victim_underenforcement,underenforcement proposition,case-proposition,yes|no|not_found|unverified|pending,Whether a male reporting party obtained a finding of inadequate investigation or civil-only treatment despite supported allegations,"oversight finding; court order; agency admission; coded narrative review",not_found absent qualifying source,true,true,0-1
