year,candidate_family,calls_n,arrest_disposition_n,arrest_disposition_pct
2023,broader_validation_screen,9323,244,2.62
2023,civil_label,725,2,0.28
2023,domestic_label,835,112,13.41
2023,person_offense_screen,2819,62,2.20
2023,protection_order_label,272,17,6.25
2024,broader_validation_screen,8708,281,3.23
2024,civil_label,646,3,0.46
2024,domestic_label,845,110,13.02
2024,person_offense_screen,3104,53,1.71
2024,protection_order_label,280,22,7.86
2025,broader_validation_screen,8066,246,3.05
2025,civil_label,564,3,0.53
2025,domestic_label,808,101,12.50
2025,person_offense_screen,2673,61,2.28
2025,protection_order_label,267,27,10.11
2026,broader_validation_screen,3487,106,3.04
2026,civil_label,230,3,1.30
2026,domestic_label,374,46,12.30
2026,person_offense_screen,1225,28,2.29
2026,protection_order_label,110,9,8.18
