candidate_family,n,source,year
broader_validation_screen,9323,calls,2023
civil_label,725,calls,2023
domestic_label,835,calls,2023
person_offense_screen,2819,calls,2023
protection_order_label,272,calls,2023
broader_validation_screen,8708,calls,2024
civil_label,646,calls,2024
domestic_label,845,calls,2024
person_offense_screen,3104,calls,2024
protection_order_label,280,calls,2024
broader_validation_screen,8066,calls,2025
civil_label,564,calls,2025
domestic_label,808,calls,2025
person_offense_screen,2673,calls,2025
protection_order_label,267,calls,2025
broader_validation_screen,3487,calls,2026
civil_label,230,calls,2026
domestic_label,374,calls,2026
person_offense_screen,1225,calls,2026
protection_order_label,110,calls,2026
offense_screen,2007,offenses,2020
offense_screen,1870,offenses,2021
offense_screen,1952,offenses,2022
offense_screen,2130,offenses,2023
offense_screen,2330,offenses,2024
offense_screen,2405,offenses,2025
offense_screen,1038,offenses,2026
